,Unnamed: 0,course_id,urls,title,date_created,num_subscribers,is_paid,price,avg_rating,num_ratings,content_duration
413,413,4983181,/course/ai-900-microsoft-azure-ai-fundamentals-exam/,AI-900: Microsoft Azure AI Fundamentals Exam,2022-11-17,1054,True,19.99,5.0,22,56.0
414,414,4042330,/course/exam-az-900-microsoft-azure-fundamentals-o/,Exam AZ-900: Microsoft Azure Fundamentals,2021-05-11,33,True,19.99,4.6666665,3,80.0
415,415,3253048,/course/comet-microsoft-azure-architect-technologies-beginner-to-expert/,Microsoft Azure Architect Technologies: AZ-303/AZ-300,2020-06-20,19382,True,29.99,4.0,247,13.0
416,416,4985396,/course/az-104-microsoft-azure-administrator-exam/,AZ-104 Exam Success: Microsoft Azure Administrator Test,2022-11-19,2621,True,19.99,4.625,20,363.0
417,417,2446236,/course/azure-app-services-web-apps/,Azure App Services - Web Apps,2019-07-06,181,True,49.99,4.15,23,4.0
418,418,2541478,/course/azure-solution-architect-certification-az-300/,Azure Solution Architect Certification- AZ 300 and AZ 303,2019-09-03,2162,True,19.99,3.55,83,9.5
419,419,2722266,/course/azure-administrator-complete-course-2020/,Microsoft Azure administrator AZ-104 [AZ-900 course free],2019-12-26,62,True,84.99,3.55,21,13.5
420,420,4303253,/course/net-apps-on-azure-virtual-machine-windows-linux-docker/,.Net Apps on Azure Virtual Machine Windows & Linux | Docker,2021-09-16,6890,True,19.99,4.5,8,4.0
421,421,3984858,/course/microsoft-azure-cloud-fundamentals-az-900-practice-test-2021/,Microsoft Azure Cloud Fundamentals AZ-900 Practice Test 2021,2021-04-15,11,True,19.99,4.8333335,3,180.0
422,422,4830114,/course/azure-load-balancers/,Azure Load Balancers,2022-08-13,11,True,19.99,4.5,6,1.0
423,423,2511956,/course/databricks-essentials-for-spark-developers-azure-and-aws/,Databricks Essentials for Spark Developers (Azure and AWS),2019-08-16,7501,True,19.99,4.285714,929,4.0
424,424,3222369,/course/install-your-personal-sap-hana-on-azure-for-free/,Install your personal SAP HANA on Azure,2020-06-10,116,True,39.99,4.15,28,1.0
