,course_id,urls,title,date_created,num_subscribers,is_paid,price,avg_rating,num_ratings,content_duration
55,4623978,/course/google-cloud-database/,Google Cloud Professional Database Engineer Certification,2022-04-02T03:26:51Z,135,True,19.99,4.6666665,12,9
56,4117804,/course/google-associate-cloud-engineer-gcp-test-sets/,Google Associate Cloud Engineer (GCP) Test Sets 2023,2021-06-12T01:44:21Z,1189,True,84.99,3.9,19,331
57,4028938,/course/gcp-for-beginner/,Google Cloud Platform (GCP) for Beginner,2021-05-05T14:45:35Z,637,True,19.99,4.35,182,5.5
58,4133786,/course/gcp-for-developer/,GCP Google Cloud Professional Cloud Developer Certification,2021-06-19T15:59:05Z,229,True,19.99,4.6,21,28
59,5012016,/course/terraform-for-beginners-using-google-cloud-platform-gcp/,Terraform for Beginners using Google Cloud Platform (GCP),2022-12-06T10:38:13Z,155,True,19.99,4.4722223,18,10
60,4996696,/course/gcp-google-professional-cloud-architect-practice-test/,GCP Google Professional Cloud Architect Practice test,2022-11-26T12:53:54Z,731,True,49.99,4.5,5,335
61,2171356,/course/google-cloud-associate-cloud-engineer-certification/,Ultimate Google Certified Associate Cloud Engineer 2022,2019-01-23T16:32:48Z,58741,True,49.99,4.3,2001,22.5
62,4816524,/course/google-professional-cloud-architect-2022-practice-test-p/,Google Professional Cloud Architect - 2023 Practice Test,2022-08-04T15:05:37Z,1717,True,19.99,4.663793,209,267
63,3237977,/course/google-cloud-platform-essentials/,Google Cloud Platform Essentials,2020-06-15T11:40:11Z,74,True,84.99,4.625,8,5
64,4330078,/course/google-cloud-services-crash-course/,Google Cloud Services Fundamental Crash Course For Beginners,2021-10-02T04:48:09Z,6764,True,19.99,4.3965516,153,2
65,4983382,/course/gcp-certified-associate-cloud-engineer-training-google-cloud/,GCP Certified Associate Cloud Engineer Training Google Cloud,2022-11-18T03:42:57Z,9,True,34.99,4.8,5,4
66,1244262,/course/an-introduction-to-google-cloud-platform-for-data-engineers/,An Introduction to Google Cloud Platform for Data Engineers,2017-06-06T22:01:11Z,7051,True,19.99,4.4714284,1346,3
67,4980648,/course/gcp-professional-cloud-security-engineer-practice-test-2022/,GCP Professional Cloud Security Engineer Practice Test 2023,2022-11-16T12:21:00Z,115,True,24.99,4.8,5,60
68,1510852,/course/learn-gcp-become-a-certified-data-engineer-express-course/,Google Cloud Professional Data Engineer Course [2019 Update],2018-01-15T10:57:41Z,10081,True,19.99,4.5740743,1989,4.5
69,5023220,/course/google-cloud-professional-cloud-architect-gcp-practice-exam/,Google Cloud Professional Cloud Architect -GCP Practice Exam,2022-12-13T16:24:00Z,220,True,19.99,5.0,6,124
70,3419402,/course/excel-as-google-certified-professional-cloud-architect/,Latest Google Certified Professional Cloud Architect,2020-08-14T14:30:00Z,1077,True,64.99,4.5,220,16
71,2572104,/course/google-cloud-certified-associate-cloud-engineer-gcp-ace/,Google Cloud Certified Associate Cloud Engineer - GCP (ACE),2019-09-22T15:00:42Z,1531,True,84.99,3.05,25,4
72,5066596,/course/google-cloud-professional-cloud-developer-2023-exams/,Google Cloud Professional Cloud Developer 2023 [EXAMS],2023-01-06T21:29:39Z,26,True,19.99,5.0,4,177
73,3086804,/course/deploying-nodejs-on-gcp/,Deploying Node.js on GCP,2020-05-04T07:51:57Z,136,True,19.99,4.3,17,4
74,4502318,/course/slg-google-cloud-professional-data-engineer-practice-tests/,Google Cloud Professional Data Engineer Practice Tests,2022-01-18T18:54:21Z,3229,True,29.99,4.4473686,317,100
75,2803595,/course/google-cloud-associate-engineer-exam-dumps/,Google Cloud Certification : Associate Cloud Engineer 2021,2020-02-08T16:26:09Z,158,True,24.99,4.0,16,6
76,2807703,/course/cloud-functions-faas-with-python-from-zero-to-hero/,Google Cloud Functions (FaaS) with Python from zero to hero!,2020-02-11T03:43:52Z,1107,True,19.99,4.3913045,142,2.5
77,2828304,/course/google-cloud-platform-fundamentals-core-infrastructure/,Google Cloud Platform Fundamentals: Core Infrastructure,2020-02-21T13:10:17Z,304,True,69.99,3.75,42,6
78,4324210,/course/ultimate-gcp-associate-cloud-engineer-practice-test-oct-2021/,Ultimate GCP Associate Cloud Engineer Practice Test Oct 2021,2021-09-28T17:05:53Z,77,True,29.99,4.75,4,375
79,2414030,/course/the-complete-introduction-to-cloud-with-aws-azure-and-gcp/,"Introduction to Cloud Computing with AWS, Azure and GCP",2019-06-14T20:44:15Z,1147,True,19.99,4.0,303,5
80,4571796,/course/bigquery-ml-course/,BigQuery ML - Machine Learning in SQL using Google BigQuery,2022-02-27T05:55:40Z,1382,True,39.99,4.421875,107,11
81,4105714,/course/gcp-associate-engineer-certification/,Latest Google Associate Cloud Engineer Certification,2021-06-06T23:32:05Z,573,True,59.99,4.1,158,13.5
82,4576902,/course/machine-learning-on-google-cloud-platform/,Machine Learning on Google Cloud (Vertex AI) - Hands on!,2022-03-02T11:19:46Z,1574,True,29.99,4.257353,218,6.5
83,4262928,/course/hands-on-data-engineering-in-google-cloud-platform-python/,Hands-On Data Engineering in Google Cloud Platform | Python,2021-08-25T14:21:36Z,510,True,84.99,4.3,48,6
84,4780106,/course/gcp-professional-data-engineer-exams/,GCP Professional Data Engineer 2023 [EXAMS],2022-07-13T19:37:15Z,9,True,19.99,5.0,1,100
85,2150642,/course/google-cloud-certified-associate-cloud-engineer-practiceexam/,GCP Associate Cloud Engineer Practice Exam,2019-01-14T14:29:07Z,199,True,29.99,3.75,57,136
86,2233550,/course/gcp-google-cloud-platform-data-engineer-cloud-architect/,"GCP: Google Cloud Platform: Data Engineer, Cloud Architect",2019-02-21T21:04:01Z,8677,True,84.99,4.25,244,8.5
87,5003408,/course/new-gcp-google-professional-cloud-devops-engineer-practice-exams/,Google Professional Cloud DevOps Engineer Practice Exams,2022-11-30T13:14:17Z,358,True,19.99,4.9444447,9,315
88,3518104,/course/google-cloud-fundamental-knowledge/,Google Cloud Platform (GCP)  Fundamental,2020-09-22T06:41:04Z,20,True,84.99,3.8,5,3
89,3675330,/course/google-cloud-digital-cloud-leader-certification-crash-course/,Google Cloud Digital Cloud Leader Certification Crash Course,2020-12-02T02:17:21Z,11313,True,19.99,4.2285714,192,6.5
90,4087582,/course/the-ultimate-beginners-guide-to-google-cloud-platform-gcp/,The Ultimate Beginners guide to Google Cloud Platform (GCP),2021-05-30T01:45:53Z,6494,True,49.99,4.3,18,6.5
91,4222716,/course/data-engineering-with-google-dataflow-and-apache-beam/,Data Engineer with Google Dataflow and Apache Beam,2021-08-04T19:29:19Z,878,True,19.99,4.1615386,166,2.5
92,1576778,/course/data-storage-management-in-the-google-cloud-platform-gcp/,Google Cloud Platform (GCP) Data Storage Management,2018-03-01T22:12:06Z,5514,True,19.99,4.35,54,4.5
93,2419924,/course/a-practical-guide-to-google-cloud-from-scratch/,A Practical Guide to Google Cloud from Scratch,2019-06-19T05:59:57Z,74,True,84.99,3.9375,8,5
94,2514076,/course/gcp-professional-cloud-architect-practice-exams-by-category/,GCP - Professional Cloud Architect - Practice Exams,2019-08-17T19:46:05Z,5208,True,19.99,3.75,255,321
95,4884484,/course/google-cloud-digital-leader-practice-tests-c/,Google Cloud Digital Leader Practice Tests *BRAND NEW 2023*,2022-09-15T20:52:25Z,29,True,29.99,4.25,8,150
96,2244870,/course/google-cloud-platform-professional-cloud-developer-certification/,Ultimate Google Certified Professional Cloud Developer 2022,2019-02-27T23:06:45Z,78484,True,49.99,4.45,1728,16.5
97,4196552,/course/basic-data-engineering-for-beginner-using-google-cloud-python/,Data Engineering for Beginner using Google Cloud & Python,2021-07-21T08:21:57Z,947,True,84.99,4.284091,100,8
98,4278254,/course/good-clinical-practice-ich-gcp-e6-r2/,[2023] Good Clinical Practice ICH GCP for Clinical Research,2021-09-03T01:28:47Z,1625,True,84.99,4.291139,420,3
99,4688538,/course/google-cloud-professional-cloud-network-engineer-exams-2022-h/,GCP Professional Cloud Network Engineer practice exams 2022,2022-05-16T08:12:00Z,2264,True,19.99,4.15,28,142
